"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted","Date"
"2017-07-28",5822.807129,5831.026855,5804.794922,5831.026855,63785400,5831.026855,"2017-07-28"
"2017-07-31",5820.01123,5847.245117,5816.529785,5840.938965,52731300,5840.938965,"2017-07-31"
"2017-08-01",5853.505859,5858.934082,5805.205078,5805.205078,69809900,5805.205078,"2017-08-01"
"2017-08-02",5815.065918,5824.249023,5792.166992,5824.249023,51290400,5824.249023,"2017-08-02"
"2017-08-03",5818.555176,5825.051758,5780.576172,5780.576172,44658800,5780.576172,"2017-08-03"
"2017-08-04",5775.920898,5800.128906,5769.397949,5777.481934,39744400,5777.481934,"2017-08-04"
"2017-08-07",5780.894043,5812.791016,5749.291992,5749.291992,42147500,5749.291992,"2017-08-07"
"2017-08-08",5755.044922,5810.562988,5755.044922,5810.562988,48403600,5810.562988,"2017-08-08"
"2017-08-09",5813.604004,5824.006836,5792.777832,5824.006836,55021100,5824.006836,"2017-08-09"
"2017-08-10",5828.541992,5833.85791,5810.76123,5825.945801,56586000,5825.945801,"2017-08-10"
"2017-08-11",5812.246094,5812.905762,5756.462891,5766.138184,55175200,5766.138184,"2017-08-11"
"2017-08-14",5780.699219,5812.871094,5780.699219,5801.487793,48743500,5801.487793,"2017-08-14"
"2017-08-15",5808.645996,5842.834961,5808.26123,5835.041016,62419400,5835.041016,"2017-08-15"
"2017-08-16",5842.560059,5891.949219,5836.147949,5891.949219,57886400,5891.949219,"2017-08-16"
"2017-08-17",NA,NA,NA,NA,NA,NA,"2017-08-17"
"2017-08-18",5879.679199,5912.116211,5869.131836,5893.84082,46506900,5893.84082,"2017-08-18"
"2017-08-21",5893.416016,5901.582031,5855.23584,5861.003906,42745100,5861.003906,"2017-08-21"
"2017-08-22",5862.592773,5885.596191,5862.476074,5880.296875,58668100,5880.296875,"2017-08-22"
"2017-08-23",5900.400879,5914.023926,5881.754883,5914.023926,77528100,5914.023926,"2017-08-23"
"2017-08-24",5914.098145,5916.820801,5874.276855,5894.117188,86700500,5894.117188,"2017-08-24"
"2017-08-25",5906.119141,5915.362793,5880.02002,5915.362793,64107900,5915.362793,"2017-08-25"
"2017-08-28",5904.369141,5914.47998,5890.480957,5903.34082,86874800,5903.34082,"2017-08-28"
"2017-08-29",5899.746094,5902.609863,5865.40918,5888.211914,57947400,5888.211914,"2017-08-29"
"2017-08-30",5888.426758,5893.903809,5863.145996,5872.505859,51307600,5872.505859,"2017-08-30"
"2017-08-31",5873.730957,5881.73584,5845.273926,5864.059082,63529600,5864.059082,"2017-08-31"
"2017-09-01",NA,NA,NA,NA,NA,NA,"2017-09-01"
"2017-09-04",5858.209961,5861.600098,5806.316895,5813.741211,50726200,5813.741211,"2017-09-04"
"2017-09-05",5823.013184,5834.184082,5774.307129,5829.979004,64988500,5829.979004,"2017-09-05"
"2017-09-06",5809.306152,5831.47998,5803.123047,5824.138184,61681800,5824.138184,"2017-09-06"
"2017-09-07",5824.515137,5835.87793,5810.483887,5832.311035,50424900,5832.311035,"2017-09-07"
"2017-09-08",5825.12207,5866.98877,5819.528809,5857.119141,46573100,5857.119141,"2017-09-08"
"2017-09-11",5863.423828,5883.951172,5858.242188,5871.880859,51533200,5871.880859,"2017-09-11"
"2017-09-12",5877.245117,5884.150879,5861.535156,5872.376953,59543200,5872.376953,"2017-09-12"
"2017-09-13",5860.487793,5881.694824,5840.917969,5845.733887,67508200,5845.733887,"2017-09-13"
"2017-09-14",5849.723145,5867.207031,5841.397949,5852.001953,73420600,5852.001953,"2017-09-14"
"2017-09-15",5854.445801,5875.529785,5831.180176,5872.39209,62775100,5872.39209,"2017-09-15"
"2017-09-18",5875.111816,5884.61084,5851.225098,5884.61084,51691500,5884.61084,"2017-09-18"
"2017-09-19",5885.212891,5901.326172,5868.337891,5901.326172,57340500,5901.326172,"2017-09-19"
"2017-09-20",5902.208008,5908.85791,5885.832031,5906.573242,59948400,5906.573242,"2017-09-20"
"2017-09-21",NA,NA,NA,NA,NA,NA,"2017-09-21"
"2017-09-22",5905.225098,5928.786133,5883.565918,5911.708008,50278100,5911.708008,"2017-09-22"
"2017-09-25",5910.161133,5918.085938,5882.943848,5894.611816,46527500,5894.611816,"2017-09-25"
